"Code","CoinName","Algorithm","IsTrading","ProofType","TotalCoinsMined","TotalCoinSupply"
"COX","CobraCoin","Scrypt",1,"PoW/PoS",0,1012941176
"BSD","BitSend","X11",1,"PoW/PoS",24387724.5010828,139000000
"DES","Destiny","Scrypt",1,"PoW/PoS",0,212625
"BIT16","16BitCoin","NIST5",1,"PoW/PoS",0,16000000
"CMTC","CometCoin","Scrypt",1,"PoW",0,2000000
"CHESS","ChessCoin","Scrypt",1,"PoW/PoS",0,74666667
"REE","ReeCoin","Scrypt",1,"PoW/PoS",0,350000000
"MARV","Marvelous","Scrypt",1,"PoW",0,400000000
"OMNI","Omni","Scrypt",1,"PoW",616448,616448
"TRTK","TrollTokens","SHA-256",0,"PoW/PoS",0,860000000
"LIR","Let it Ride","POS 3.0",1,"PoS",38589808.6658096,33500000
"SCRPT","ScryptCoin","Scrypt",1,"PoW",0,34181818
"SPCIE","Specie","PoS",1,"PoS",0,9000000
"CJ","CryptoJacks","X13",1,"PoW/PoS",0,500000000
"PUT","PutinCoin","Scrypt",1,"PoW/PoS",813092338.575672,2000000000
"KRAK","Kraken","SHA-256",1,"PoW/PoS",0,20000000
"IBANK","iBankCoin","Scrypt",1,"PoW/PoS",4526324,44333333
"WRLGC","World Gold Coin","SHA-256",0,"PoW",0,51000000
"BM","BitMoon","X13",1,"PoS",0,100000000
"FRWC","Frankywillcoin","Scrypt",1,"PoW/PoS",100000000,100000000
"PSY","Psilocybin","SHA-256D",1,"PoW/PoS",0,4214600
"RUST","RustCoin","Scrypt",1,"PoW/PoS",0,21212121
"NZC","NewZealandCoin","Scrypt",1,"PoW",0,335800000
"XPOKE","PokeChain","X13",1,"PoS",0,75000000
"MUDRA","MudraCoin","X13",1,"PoS",5000000,200000000
"PIZZA","PizzaCoin","X11",1,"PoW",1377917,25000000
"LC","Lutetium Coin","X11",1,"PoS",657000000,657000000
"EXB","ExaByte (EXB)","SHA-256",1,"PoW",0,500000000
"KMD","Komodo","Equihash",1,"dPoW/PoW",115898131,200000000
"GB","GoldBlocks","X11",1,"PoW/PoS",15563873,50000000
"EDC","EDC Blockchain","SHA-256",1,"DPoS/LPoS",0,5352058721.53
"WAY","WayCoin","X11",1,"PoS",0,100000000
"TAB","MollyCoin","Scrypt",1,"PoW/PoS",0,25000000
"STO","Save The Ocean","X11",1,"PoW/PoS",0,150000000
"CTC","CarterCoin","Scrypt",1,"PoW/PoS",43165500,90000000
"TOT","TotCoin","Scrypt",1,"PoW/PoS",0,1613150000
"MDC","MedicCoin","Scrypt",1,"PoW/PoS",0,33000000
"FTP","FuturePoints","X11",1,"PoS",0,360000000
"ZET2","Zeta2Coin","Quark",1,"PoW/PoS",0,1200000
"CVNC","CovenCoin","SHA-256",1,"PoW/PoS",0,33000
"KRB","Karbo","CryptoNight",1,"PoW",7822432.72439746,10000000
"TELL","Tellurion","X11",1,"PoW/PoS",0,3652422000
"BXT","BitTokens","SHA-256",1,"PoW/PoS",595429,21000000
"ZYD","ZayedCoin","SHA-256",1,"PoW",6243840,9736000
"MST","MustangCoin","X11",1,"PoW/PoS",657636.34549789,3000000
"GOON","Goonies","Scrypt",1,"PoW",0,270875968
"ZNE","ZoneCoin","Scrypt",1,"PoW/PoS",2581970,21000000
"COVAL","Circuits of Value","Multiple",1,"PoW",1000000000,1200000000
"DGDC","DarkGold","X13",1,"PoW/PoS",0,1000000
"TODAY","TodayCoin","Scrypt",1,"PoW",0,39200000
"ROOT","RootCoin","Scrypt",1,"PoW/PoS",1939889,0
"DOPE","DopeCoin","Scrypt",1,"PoW",116845228,200000000
"FX","FCoin","Scrypt",1,"PoW/PoS",0,987600000
"PIO","Pioneershares","X11",1,"PoW/PoS",0,200000
"PROUD","PROUD Money","X11",1,"PoW/PoS",0,10000000000
"SMSR","Samsara Coin","QuBit",1,"PoW/PoS",0,60000000
"UBIQ","Ubiqoin","Progressive-n",1,"PoS",0,500000000
"ARM","Armory Coin","Scrypt",1,"PoW/PoS",0,1990000000
"RING","RingCoin","Scrypt",1,"PoW/PoS",0,1900000000
"LAZ","Lazarus","DPoS",1,"DPoS",0,10000000
"BTCR","BitCurrency","Scrypt",1,"PoS",169598616,0
"FCTC","FaucetCoin","X13",0,"PoS",0,10000
"MOOND","Dark Moon","Scrypt",1,"PoW/PoS",0,420000000
"DLC","DollarCoin","SHA-256",1,"PoW",9106714,10638298
"SCN","Swiscoin","Scrypt",1,"PoW/PoW",665200057,3100000000
"BRONZ","BitBronze","Scrypt",1,"PoW",0,4502400
"SH","Shilling","Scrypt",1,"PoW",11119200,30000000
"BUZZ","BuzzCoin","SHA-256D",1,"PoW/PoS",19577787259,20000000000
"MG","Mind Gene","SHA-256",1,"PoW/PoS",0,7500000000
"PSI","PSIcoin","X11",1,"PoS",0,696969
"XPO","Opair","PoS",1,"PoS",74033806.7949683,74000000
"PSB","PesoBit","Scrypt",1,"PoW/PoS",33522957,0
"FIT","Fitcoin","X11",1,"PoW/PoS",0,90000000
"PINKX","PantherCoin","Scrypt",1,"PoW/PoS",0,735000000
"UNF","Unfed Coin","Scrypt",1,"PoW",0,67000000
"SPORT","SportsCoin","X11",1,"PoS",0,20000000
"NTC","NineElevenTruthCoin","Scrypt",1,"PoW/PoS",0,130528084
"EGO","EGOcoin","PoS",1,"PoS",0,60000000
"GBRC","GBR Coin","Scrypt",1,"PoW",0,87500000
"HALLO","Halloween Coin","X11",1,"PoW/PoS",264678458.288619,1500000000
"BBCC","BaseballCardCoin","Scrypt",1,"PoW/PoS",0,19000000
"EMIGR","EmiratesGoldCoin","SHA-256",0,"PoW",0,4000000
"BHC","BighanCoin","Quark",1,"PoW",0,411000000
"CRAFT","Craftcoin","Scrypt",1,"PoW/PoS",0,49411760
"OLYMP","OlympCoin","X11",1,"PoW/PoS",0,50000000
"DPAY","DelightPay","X13",1,"PoW/PoS",0,90400000
"ANTC","AntiLitecoin","Scrypt",0,"PoW",0,84000000
"JOBS","JobsCoin","X11",1,"PoW/PoS",0,20000000000
"DGORE","DogeGoreCoin","X11",1,"PoW/PoS",0,500000000
"RMS","Resumeo Shares","NIST5",1,"PoS",0,9188302
"FJC","FujiCoin","Scrypt-n",1,"PoW",0,10000000
"VAPOR","Vaporcoin","SHA-256",1,"PoW/PoS",0,2000000
"XZC","ZCoin","Lyra2Z",1,"PoW",7568281.24956067,21400000
"PRE","Premium","Scrypt",1,"PoW",0,20000000
"CALC","CaliphCoin","SHA-256",1,"PoW",0,135000000
"LEA","LeaCoin","SHA-256",1,"PoW",0,2000000000
"CF","Californium","SHA-256",1,"PoW",0,2520000
"CFC","CoffeeCoin","PoS",1,"PoS",148716816,39999898
"BS","BlackShadowCoin","X11",1,"PoW/PoS",0,2100000000
"JIF","JiffyCoin","SHA-256D",1,"PoW",0,5108400
"MONETA","Moneta","Scrypt",1,"PoW",0,184000000
"RUBIT","Rublebit","Scrypt",1,"PoW",0,100000000
"HCC","HappyCreatorCoin ","Scrypt",1,"PoW",0,100100400000
"BRAIN","BrainCoin","X11",1,"PoW/PoS",0,22000000
"ROYAL","RoyalCoin","X13",1,"PoS",2500124,2500124
"LFC","BigLifeCoin","X11",1,"PoW",0,9900000000
"ZUR","Zurcoin","Quark",1,"PoW",0,126000000
"PEC","PeaceCoin","X11",1,"PoW",0,700000000
"GMX","Goldmaxcoin","Scrypt",1,"PoW",0,84078950
"32BIT","32Bitcoin","X11",1,"PoW/PoS",0,355000
"GNJ","GanjaCoin V2","X14",1,"PoW/PoS",100000000,100000000
"TEAM","TeamUP","PoS",1,"PoS",17818682.1654,301000000
"SCT","ScryptToken","Scrypt",1,"PoW/PoS",0,8842105
"LANA","LanaCoin","SHA-256D",1,"PoW/PoS",1082162635.53683,7506000000
"ELE","Elementrem","Ethash",1,"PoW",26205539,26205539
"GCC","GuccioneCoin","Scrypt",1,"PoW",0,39760000
"EQUAL","EqualCoin","X13",1,"PoW/PoS",0,1000000000
"2BACCO","2BACCO Coin","Scrypt",1,"PoW/PoS",0,81454545
"DKC","DarkKnightCoin","Scrypt",1,"PoW/PoS",0,24000000
"COC","Community Coin","SHA-256",1,"PoW",0,36129032
"CHOOF","ChoofCoin","Scrypt",1,"PoW/PoS",0,40000000
"CSH","CashOut","SHA-256",1,"PoW",0,100000000
"ZCL","ZClassic","Equihash",1,"PoW",5613550,21000000
"RYCN","RoyalCoin 2.0","X13",1,"PoS",0,2500124
"PCS","Pabyosi Coin","X11",1,"PoW/PoS",0,31500000000
"NBIT","NetBit","Scrypt",1,"PoW/PoS",0,10500000
"WINE","WineCoin","Scrypt",1,"PoW/PoS",0,1744000000
"ARK","ARK","DPoS",1,"DPoS",108202084,125000000
"ZECD","ZCashDarkCoin","Scrypt",1,"PoW",0,500000000
"WASH","WashingtonCoin","X11",1,"PoW/PoS",0,170000000
"LUCKY","LuckyBlocks","PoS",1,"PoS",0,20000000
"INSANE","InsaneCoin","X11",1,"PoW/PoS",18342813,30000000
"BASH","LuckChain","Scrypt",1,"PoW/PoS",0,1000000000
"FAME","FameCoin","QuBit",1,"PoW/PoS",0,50000000
"LIV","LiviaCoin","Scrypt",1,"PoW/PoS",0,1572000000
"DOGETH","EtherDoge","X11",1,"PoW/PoS",0,18100000
"KLC","KiloCoin","Scrypt",1,"PoW",196297971,10000000000
"HUSH","Hush","Equihash",1,"PoW",0,21000000
"BTLC","BitLuckCoin","PoS",1,"PoS",0,5000000000
"DRM8","Dream8Coin","Scrypt",1,"PoW",0,88800000000
"EBZ","Ebitz","PoS",0,"PoS",0,21000000
"FGZ","Free Game Zone","Scrypt",1,"PoW",0,44775520
"BOSON","BosonCoin","X11",1,"PoW/PoS",0,5000000000
"ATX","ArtexCoin","X11",1,"PoW",824000000,500000000
"PNC","PlatiniumCoin","SHA-256",1,"PoW",0,21000000
"BRDD","BeardDollars","Scrypt",1,"PoW/PoS",0,21212121
"BIPC","BipCoin","CryptoNight",1,"PoW",0,18446744
"XNC","XenCoin","Scrypt",1,"PoW",0,2100000000
"EMB","EmberCoin","X13",1,"PoW/PoS",92192822723,850000000
"BTTF","Coin to the Future","PoS",1,"PoS",0,1210000
"DLR","DollarOnline","X11",1,"PoW/PoS",0,1000000000
"XEN","XenixCoin","X11",1,"PoW/PoS",3853326.77707314,3853326.77707314
"IW","iWallet","X11",1,"PoW/PoS",0,2142857142.86
"FRE","FreeCoin","PoS",1,"PoS",50000000,50000000
"NPC","NPCcoin","SHA-256D",1,"PoW/PoS",0,7000000000
"PLNC","PLNCoin","Scrypt",1,"PoW/PoS",17089600,38540000
"DGMS","Digigems","Scrypt",1,"PoW",0,50000000
"ICOB","Icobid","Scrypt",1,"PoW/PoS",0,200000000
"ARCO","AquariusCoin","Scrypt",1,"PoW/PoS",2449577.41533168,42000000
"KURT","Kurrent","X11",1,"PoW",61364813,228000000
"XCRE","Creatio","PoS",1,"PoS",20000000,20000000
"ENT","Eternity","X11",1,"PoW/PoS",6069482.07721352,60000000
"MTLM3","Metal Music v3","Scrypt",0,"PoW/PoS",0,2500000000
"ODNT","Old Dogs New Tricks","SHA-256D",1,"PoW/PoS",0,21000000
"EUC","Eurocoin","SHA-256",1,"PoW/PoS",12416554,20000000
"CCX","CoolDarkCoin","Scrypt",1,"PoW/PoS",0,11052632
"BCF","BitcoinFast","Scrypt",1,"PoW/PoS",20244023.640728,33000000
"SEEDS","SeedShares","SHA-256D",1,"PoW/PoS",0,7996400
"XSN","Stakenet","X11",1,"TPoS",75590369,76500000
"BCCOIN","BitConnect Coin","Scrypt",1,"PoW/PoS",11080722.3769581,28000000
"SHORTY","ShortyCoin","PoS",1,"PoS",0,100000000
"PCM","Procom","Scrypt",1,"PoW",0,28000000
"CORAL","CoralPay","X13",1,"PoS",0,21000000
"MONEY","MoneyCoin","Scrypt",1,"PoW/PoS",10914418,650659833
"HSP","Horse Power","Scrypt",1,"PoW",0,2900000
"HZT","HazMatCoin","Scrypt",1,"PoW/PoS",0,100000000
"CRSP","CryptoSpots","DPoS",1,"DPoS",0,0
"ICON","Iconic","PoS",1,"PoS",0,520000
"NIC","NewInvestCoin","PoS",1,"PoS",0,47090909
"ACN","AvonCoin","PoS",1,"PoS",0,1000000000
"XNG","Enigma","X11",1,"PoW/PoS",814671,5000000
"XCI","Cannabis Industry Coin","CryptoNight",1,"PoW",978145,21000000
"LOOK","LookCoin","X11",1,"PoW/PoS",0,1613150000
"MIS","MIScoin","X11",1,"PoW/PoS",0,25000000
"WOP","WorldPay","X11",1,"PoW/PoS",0,10000000
"CQST","ConquestCoin","X13",1,"PoW/PoS",0,30000000
"CHIEF","TheChiefCoin","Scrypt",1,"PoW/PoS",0,2500000000
"RC","Russiacoin","Scrypt",1,"PoW/PoS",8377873,144000000
"PND","PandaCoin","Scrypt",1,"PoS",33813143821.8337,32514916898
"ECAD","Canada eCoin","Scrypt",1,"PoW",0,100000000
"OPTION","OptionCoin","X11",1,"PoS",0,21000000
"AV","Avatar Coin","PoS",1,"PoS",0,10000000
"LTD","Limited Coin","PoS",1,"PoS",0,128
"UNITS","GameUnits","Scrypt",1,"PoW/PoS",3472983,13000000
"GAKH","GAKHcoin","Scrypt",1,"PoW/PoS",3315789,3315789
"S8C","S88 Coin","Scrypt",1,"PoW/PoS",0,520000000
"ASAFE2","Allsafe","Quark",1,"PoS",10517772.7391666,15000000
"LTCR","LiteCreed","QuBit",1,"PoW/PoS",30227750,78835200
"XPRO","ProCoin","X15",1,"PoW/PoS",0,6000000
"ASTR","Astral","X13",1,"PoW/PoS",0,37875500
"GIFT","GiftNet","X13",1,"PoW",0,6750000
"VIDZ","PureVidz","PoS",1,"PoS",0,125000000
"INC","Incrementum","PoS",1,"PoS",0,1300000
"PTA","PentaCoin","SHA-256",1,"PoW/PoS",0,1311955
"ACID","AcidCoin","SHA-256",1,"PoW",0,4500000000
"RNC","ReturnCoin","X11",1,"PoS",0,250000000
"TWIST","TwisterCoin","X11",1,"PoW/PoS",0,3195000
"PAYP","PayPeer","X11",1,"PoW/PoS",0,50000000000
"LENIN","LeninCoin","SHA-256D",1,"PoW",0,100000000
"MRSA","MrsaCoin","X13",1,"PoW/PoS",0,2100000000
"OS76","OsmiumCoin","Scrypt",1,"PoW",894026,2714286
"BIC","Bikercoins","CryptoNight",1,"PoW",9357088,25000000
"CRPS","CryptoPennies","X11",1,"PoS",0,1593.15
"NTCC","NeptuneClassic","X11",1,"PoW/PoS",0,250000000
"HXX","HexxCoin","Lyra2RE",1,"PoW",1876146.443596,9999999
"SPKTR","Ghost Coin","SHA-256",1,"PoW/PoS",0,2270000
"MAC","MachineCoin","Time Travel",1,"PoW",0,35000000
"SEL","SelenCoin","PoS",1,"PoS",0,159680000
"NOO","Noocoin","PoS",1,"PoS",0,25000000
"CHAO","23 Skidoo","SHA-256D",1,"PoW",0,23
"XGB","GoldenBird","X13",1,"PoW/PoS",0,450000000
"YMC","YamahaCoin","Scrypt",1,"PoW",0,315000000
"JOK","JokerCoin","Scrypt",1,"PoW/PoS",0,5000000000
"GBIT","GravityBit","Scrypt",1,"PoW/PoS",0,5333000
"TEC","TeCoin","Multiple",1,"PoW",0,469521976
"BOMBC","BombCoin","Scrypt",1,"PoW/PoS",0,4516129032
"RIDE","Ride My Car","PoS",1,"PoS",0,100000000
"KED","Klingon Empire Darsek","Scrypt",1,"PoW/PoS",23965372,500000000
"IOP","Internet of People","SHA-256",1,"PoW/PoS",2526078.47525448,21000000
"ELS","Elysium","Scrypt",1,"PoW",0,18000000
"KUSH","KushCoin","X11",1,"PoW/PoS",5659096.95728771,9354000
"ERY","Eryllium","X11",1,"PoW/PoS",0,100000000
"OPES","Opes","Argon2",1,"PoW",0,52000000
"RATIO","Ratio","PoS",1,"PoS",0,100000000
"SMF","SmurfCoin","Scrypt",1,"PoW/PoS",0,2500000000
"TECH","TechCoin","X13",1,"PoW/PoS",0,300000
"CIR","CircuitCoin","SHA-256D",1,"PoW/PoS",0,3125000000
"LEPEN","LePenCoin","SHA-256",1,"PoS",0,1000000000
"MARX","MarxCoin","X11",1,"PoW",0,100640000
"HAZE","HazeCoin","Scrypt",1,"PoW",0,25000000
"PRX","Printerium","Scrypt",1,"PoW/PoS",11821728,20000000
"PAC","PacCoin","X11",1,"PoW",536982074,100000000000
"IMPCH","Impeach","Scrypt",1,"PoW/PoS",308179,21933333
"ERR","ErrorCoin","Scrypt",1,"PoW",0,81000000
"TIC","TrueInvestmentCoin","Scrypt",1,"PoW/PoS",0,53200000
"NUKE","NukeCoin","PoS",1,"PoS",0,2778196
"SFC","Solarflarecoin","Scrypt",1,"PoW",0,20000000
"JANE","JaneCoin","X11",1,"PoW/PoS",0,2100000000
"PARA","ParanoiaCoin","Scrypt",1,"PoW",0,72000000
"MM","MasterMint","X11",1,"PoS",0,1500000000
"CTL","Citadel","CryptoNight-V7",1,"PoW",10969318.522954,185000000
"ZBC","Zilbercoin","Scrypt",1,"PoS",2922613.96424908,55000000
"FRST","FirstCoin","Scrypt",1,"PoW/PoS ",110000000,110000000
"ORO","OroCoin","Scrypt",1,"PoW",0,23529412
"ALEX","Alexandrite","SHA-256",1,"PoW/PoS",0,1268000
"TBCX","TrashBurn","SHA-256D",1,"PoS",0,9000000
"MCAR","MasterCar","Scrypt",1,"PoW/PoS",0,2991837
"THS","TechShares","DPoS",1,"DPoS",0,600000000
"ACES","AcesCoin","X13",1,"PoS",0,100000000
"UAEC","United Arab Emirates Coin","X11",0,"PoW/PoS",0,10000000
"EA","EagleCoin","SHA-256",1,"PoW",0,40000000
"CREA","CreativeChain","Keccak",1,"PoW",0,115000000
"BVC","BeaverCoin","Scrypt",1,"PoW",3115258,3360000
"FIND","FindCoin","X13",1,"PoS",14524851.4827,14524851.4827
"MLITE","MeLite","SHA-256D",1,"PoW/PoS",0,1000000
"STALIN","StalinCoin","X11",1,"PoW/PoS",0,3000000000
"TSE","TattooCoin","Scrypt",1,"PoW/PoS",0,500000000
"VLTC","VaultCoin","X11",1,"PoW",30385540,1000000000
"BIOB","BioBar","SHA-256D",1,"PoW/PoS",0,60000000
"ZER","Zero","Equihash",1,"PoW",6921653.89980891,17000000
"CHAT","OpenChat","Scrypt",1,"PoW/PoS",1000000000,1000000000
"CDN","Canada eCoin","Scrypt",1,"PoW",99843408.3158479,100000000
"ZOI","Zoin","Lyra2RE",1,"PoW",18545757.5,21000000
"HONEY","Honey","Blake2S",1,"PoW/PoS",0,7000000
"MXT","MartexCoin","X13",1," PoW/PoS",0,5000000
"MUSIC","Musicoin","Ethash",1,"PoW",0,454898394
"VEG","BitVegan","PoS",1,"PoS",0,600000000
"MBIT","Mbitbooks","Scrypt",1,"PoW",0,81000000
"ZENI","Zennies","Scrypt",1,"PoS",0,1000000000
"PLANET","PlanetCoin","Scrypt",1,"PoW/PoS",0,1000000
"DUCK","DuckDuckCoin","Scrypt",1,"PoW",0,121
"BNX","BnrtxCoin","X11",1,"PoW",0,210000000
"RNS","RenosCoin","Scrypt",1,"PoS",36050365,34426423
"DBIX","DubaiCoin","Dagger-Hashimoto",1,"PoW",2232901,2232901
"XVP","VirtacoinPlus","X11",1,"PoW/PoS",13162749.0858027,100000000
"BOAT","Doubloon",536,1,"PoW/PoS",0,500000000
"TAJ","TajCoin","Blake2S",1,"PoW/PoS",12184195.9258495,36900000
"IMX","Impact","X11",1,"PoW/PoS",110630387.850471,110000000
"CJC","CryptoJournal","PoS",1,"PoS",0,100000000
"AMY","Amygws","Scrypt",1,"PoW",0,23333333
"QBT","Cubits","SHA-256",1,"PoW/PoS",0,300000000
"EB3","EB3coin","Scrypt",1,"PoW",64096052,4000000000
"XVE","The Vegan Initiative","PoS",1,"PoS",0,50000000
"APT","Aptcoin","Scrypt-n",1,"PoW",0,42000000
"BLAZR","BlazerCoin","Scrypt",1,"PoW",0,294336000
"UNI","Universe","Scrypt",1,"PoS",0,112000000
"ECOC","ECOcoin","Scrypt",1,"PoW/PoS",0,10733333
"DARK","Dark","SHA-256",1,"PoW/PoS",0,12800000
"DON","DonationCoin","Scrypt",1,"PoW",0,90000000
"ATMOS","Atmos","PoS",1,"PoS",111135836.889,110290030
"HPC","HappyCoin","X11",1,"PoW/PoS",21521322.0099142,100000000
"CXT","Coinonat","NIST5",1,"PoW",10123200,48252000
"MCRN","MacronCoin","PoS",1,"PoS",401421401,400000000
"RAIN","Condensate","X11",1,"PoW/PoS",121665451.643876,500000000
"IEC","IvugeoEvolutionCoin","Scrypt",1,"PoW",0,100000000
"IMS","Independent Money System","Scrypt",1,"PoW/PoS",5368934,21212121
"ARGUS","ArgusCoin","Scrypt",1,"PoW/PoS",1148324,28600000
"LMC","LomoCoin","Scrypt",1,"PoW/PoS",500000,1000000000
"BTCS","Bitcoin Scrypt","Scrypt",1,"PoW",0,21000000
"PROC","ProCurrency","SHA-256",1,"PoS",100545745,75000000000
"XGR","GoldReserve","X11",1,"PoW/PoS",17171382,40000000
"BENJI","BenjiRolls","Scrypt",1,"PoW",20276099.146524,35520400
"DUO","ParallelCoin","Scrypt",1,"PoW",0,1000000
"GRW","GrowthCoin","Scrypt",1,"PoS",295135466.361878,2000000000
"ILC","ILCoin","SHA-256",1,"PoW",1317747500,2500000000
"PZM","Prizm","SHA-256",1,"PoS",0,600000000000000
"PHR","Phreak","PoS",1,"PoS",11390225.9742772,30000000
"PUPA","PupaCoin","Blake2S",1,"PoW/PoS",0,3500000000
"RICE","RiceCoin","X13",1,"PoW/PoS",0,10000000
"XCT","C-Bits","SHA-256",1,"PoW",0,210000000
"DEA","Degas Coin","Scrypt",1,"PoW/PoS",21358764,105000000
"ZSE","ZSEcoin","X11",1,"PoW/PoS",0,2093500000
"TAP","TappingCoin","X11",1,"PoW/PoS",0,5000000000
"MUU","MilkCoin","SHA-256",1,"PoW/PoS ",0,4500000000
"INF8","Infinium-8","CryptoNight",0,"PoW",0,0
"HTML5","HTML5 Coin","X15",1,"PoW/PoS",40659020000,90000000000
"SBSC","Subscriptio","PoS",1,"PoS",0,10000000
"USC","Ultimate Secure Cash","SHA-256",1,"PoS",10343113,200084200
"DUX","DuxCoin","Scrypt",1,"PoW/PoS",0,1680000000
"XPS","PoisonIvyCoin","Scrypt",1,"PoW/PoS",0,4666666667
"EQT","EquiTrader","Scrypt",1,"PoW",13673406.4325268,72000000
"MNTC","Manet Coin","Scrypt",1,"PoW/PoS",0,215000000
"HAMS","HamsterCoin","Scrypt",1,"PoW",0,20000000
"QTUM","QTUM","POS 3.0",1,"PoS",100000000,100000000
"NEF","NefariousCoin","Scrypt",1,"PoW/PoS",0,4835000000
"QRL","Quantum Resistant Ledger","CryptoNight-V7",1,"PoW",69036016.8340164,105000000
"ESP","Espers",536,1,"PoW/PoS",22801882871,50000000000
"DYN","Dynamic","Argon2d",1,"PoW",19784224.6512734,0
"NANO","Nano","Blake2b",1,"PoW",133248297,340282367
"CHAN","ChanCoin","Cloverhash",1,"PoW",18407259.0885883,30000000
"DCY","Dinastycoin","CryptoNight",1,"PoW",1809467143,2000000000
"DNR","Denarius","NIST5",1,"PoW/PoS",4171382,10000000
"DP","DigitalPrice","X11",1,"PoW",35138975,100000000
"VUC","Virta Unique Coin","NIST5",1,"PoW/PoS",62942075,120000000
"BTPL","Bitcoin Planet","Skein",1,"PoW/PoS",6804362,100000000
"UNIFY","Unify","Scrypt",1,"PoW",18133195,19276800
"BRIT","BritCoin","X13",1,"PoW/PoS",21268092,30000000
"SOCC","SocialCoin","Scrypt",1,"PoW",5167775,75000000
"OTX","Octanox","X11",1,"PoW/PoS",0,7905634
"ARC","ArcticCoin","X11",1,"PoW",26042364.3735553,60000000
"BOG","Bogcoin","SHA-256",1,"PoW",0,21212121
"SAND","BeachCoin","X11",1,"PoW",0,21000000
"DAS","DAS","X11",1,"PoW",2622886,18900000
"LINDA","Linda","Scrypt",1,"PoW/PoS",9044930943.24243,50000000000
"XLC","LeviarCoin","CryptoNight",1,"PoW",14161803,54000000
"ONION","DeepOnion","X13",1,"PoW/PoS",21917018.0492836,18898187.6216583
"BTX","Bitcore","Time Travel",1,"PoW",17801865.1605478,21000000
"GCN","gCn Coin","Scrypt",1,"PoW",163055097500,200000000000
"SMART","SmartCash","Keccak",1,"PoW",2241009149.22257,5000000000
"SIGT","Signatum","SkunkHash v2 Raptor",1,"PoS",107972766,137500000
"ONX","Onix","X11",1,"PoW",122475638.389743,1100000000
"WINK","Wink","PoS",1,"PoS",0,80000000
"CRM","Cream","Skein",1,"PoW/PoS",47331802.4774238,100000000
"BCH","Bitcoin Cash","SHA-256",1,"PoW",17995589.6469082,21000000
"BMXT","Bitmxittz","Scrypt",0,"PoW/PoS",0,10000
"XMCC","Monoeci","X11",1,"PoW/PoS",12569262.5359307,9507271
"CMPCO","CampusCoin","Scrypt",1,"PoW",0,1010000000
"DFT","Draftcoin","Scrypt",1,"PoS",18663297.3489799,17405891.1970712
"VET","Vechain","VeChainThor Authority",1,"Proof of Authority",55454734800,86712634466
"SOJ","Sojourn Coin","Scrypt",1,"PoW",485214,10500000000
"STCN","Stakecoin","PoS",1,"PoS",4000000,61599965
"NYC","NewYorkCoin","Scrypt",1,"PoW",143006669741.687,0
"LBTC","LiteBitcoin","Scrypt",1,"PoW",0,1000000000
"FRAZ","FrazCoin","Scrypt",1,"PoW",9704042,20000000
"KRONE","Kronecoin","Scrypt",1,"PoW",17453749.4042601,84000000
"ACC","AdCoin","Scrypt",1,"PoW",32646731.063036,100000000
"LINX","Linx","Scrypt",1,"PoW",33716526,100000000
"XCXT","CoinonatX","Scrypt",1,"PoW/PoS",19539588,48252000
"BLAS","BlakeStar","Blake2S",1,"PoW/PoS",0,2400000000
"ETHD","Ethereum Dark","Scrypt",1,"PoW/PoS",4200000,4200000
"SUMO","Sumokoin","CryptoNight",1,"PoW",8946653,88888888
"ODN","Obsidian","SHA-512",1,"PoS",25000000,91388946
"ADA","Cardano","Ouroboros",1,"PoS",25927070538,45000000000
"REC","Regalcoin","X11",1,"PoW/PoS",7262402.04264803,27000000
"BTCZ","BitcoinZ","Equihash",1,"PoW",5211553258.01514,21000000000
"NTM","NetM","Scrypt",1,"PoW",0,101318932073.898
"TZC","TrezarCoin","NeoScrypt",1,"PoW/PoS",182638400,400000000
"ELM","Elements","X11",1,"PoW",2702855668.85288,1800000000
"TER","TerraNovaCoin","Scrypt",1,"PoW/PoS",1140734.91680375,15733333
"VIVO","VIVO Coin","NeoScrypt",1,"PoW",4165967.57499639,27000000
"RGC","RG Coin","NIST5",1,"PoW/PoS",0,300000000
"RUP","Rupee","Lyra2REv2",1,"PoS",24000000,24000000
"BTG","Bitcoin Gold","Equihash",1,"PoW",17202361.088994,21000000
"WOMEN","WomenCoin","Scrypt",1,"PoW/PoS",48459472454,25000000000
"MAY","Theresa May Coin","SHA-256",1,"PoW/PoS",92050800,100000000
"EDDIE","Eddie coin","Scrypt",1,"PoW/PoS",0,1000000000
"NAMO","NamoCoin","NIST5",1,"PoW/PoS",560563220,1200000000
"LUX","LUXCoin","PHI1612",1,"PoW/PoS",8305775.31777569,60000000
"PIRL","Pirl","Dagger",1,"PoW",33986980,156306732.71
"XIOS","Xios","Scrypt",1,"PoW/PoS",2149688,21000000
"BTDX","Bitcloud 2.0","Quark",1,"PoW/PoS",30711550.5294042,200000000
"EBST","eBoost","Scrypt",1,"PoW",99990001.493466,100000000
"KEK","KekCoin","POS 2.0",1,"PoS",12330806.30517,21000000
"BLHC","BlackholeCoin","Scrypt",1,"PoW/PoS",16362544.992,14788275.991
"ALTCOM","AltCommunity Coin","SkunkHash",1,"PoW/PoS",0,5000000
"PURE","Pure","X11",1,"PoW/PoS",0,3686860
"RUPX","Rupaya","Quark",1,"PoS",0,75000000
"XIN","Infinity Economics","SHA-256",1,"PoS",8999999990,9000000000
